id,Per. Ingresso,Curso,Forma de Ingresso,Sigla Cota,Escola Pública?,Coeficiente,Sexo,Idade,Situação Atual do Aluno,Período do Aluno,Em que localidade da cidade seu domicílio se encontra?,Necessita de trabalhar durante o curso?,Como pretende se locomover até a UTFPR durante o seu curso?,Motivo que o levou a escolher a UTFPR?,Principal motivo da escolha do curso:
axyfin,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.0904,M,25,Desistente,1,Bairro na região central da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
6u9dkk,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.3021,F,28,Desistente,1,Bairro na região central da cidade.,"Sim, desde o início, em período parcial.",De automóvel próprio.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão de acordo com as minhas aptidões.
p3dfin,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.0,M,24,Desistente,1,Bairro na região central da cidade.,Não sabe.,De ônibus.,"Fácil acesso. (proximidade da residência, condução, etc.).",O curso prepara para uma profissão com bom mercado de trabalho.
6ciptw,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Categoria 2,Escola Pública,0.0,M,24,Desistente,1,Bairro na região central da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.
p3a4a8,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.0,M,24,Desistente,1,Bairro na região central da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,Outro motivo. Qual?
eqdogf,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.0481,M,26,Desistente,1,Bairro na periferia da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
q1bxhc,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.0,M,26,Desistente,1,Bairro na região central da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.
8f3xgf,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Categoria 3,Escola Pública,0.1811,M,44,Desistente,1,Bairro na periferia da cidade.,Não sabe.,De automóvel próprio.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
dop4a8,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.1328,M,28,Desistente,1,Bairro na região central da cidade.,Não.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
5r65a8,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.7411,M,24,Desistente,2,Bairro na região central da cidade.,Não.,De ônibus.,Incerteza de ser classificado em outra instituição.,Outro motivo. Qual?
yayfin,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Categoria 3,Escola Pública,0.2363,M,24,Desistente,1,Bairro na região central da cidade.,Não.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.
k7qrkk,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Categoria 1,Escola Pública,0.3304,M,24,Desistente,1,Bairro na região central da cidade.,"Sim, desde o início, em período parcial.",De ônibus.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão de acordo com as minhas aptidões.
